video_id,comment_text,like_count,published_at,author,fetched_at
8sJlOmE8HKY,लेकिन हम अभी तक मूवी नहीं देखे हैं😂😂,7,2026-04-11T06:01:11Z,@nehapandey3479,2026-04-13T13:58:15.202840
8sJlOmE8HKY,Kon kon aaj dekh raha😅😅,1,2026-04-11T05:57:44Z,@ghostlover-c7j,2026-04-13T13:58:15.202843
8sJlOmE8HKY,But 1st chatori bahu is good,0,2026-04-11T05:42:57Z,@Ritikyadav-o3d7v,2026-04-13T13:58:15.202845
8sJlOmE8HKY,@keshavcomedy03,0,2026-04-11T05:42:41Z,@Keshav--vlogs27,2026-04-13T13:58:15.202847
8sJlOmE8HKY,https://youtube.com/shorts/lVYQyelG8Iw?si=fV9kb5W2o-3w7LNC,0,2026-04-11T05:42:26Z,@Keshav--vlogs27,2026-04-13T13:58:15.202848
8sJlOmE8HKY,🥰🥰🥰🥰🥰,1,2026-04-11T05:26:09Z,@ABHISHEKSINGH-wg5ny,2026-04-13T13:58:15.202850
8sJlOmE8HKY,1st part bahut mast tha,3,2026-04-11T05:14:47Z,@missanjalimahadevladlii1766,2026-04-13T13:58:15.202852
8sJlOmE8HKY,Puri movie to dekh li yhi,29,2026-04-11T04:51:25Z,@Kritisingh-3214,2026-04-13T13:58:15.202853
8sJlOmE8HKY,❤❤❤❤❤,0,2026-04-11T04:43:08Z,@SushilKumar-b5d6p,2026-04-13T13:58:15.202855
8sJlOmE8HKY,Ye movie kb aaye gi❤️❤️❤️❤️,10,2026-04-11T03:55:57Z,@Crazily.SumanS2,2026-04-13T13:58:15.202857
8sJlOmE8HKY,Part 2 meaja nhi aya,1,2026-04-11T03:34:11Z,@Deepakyadav90759,2026-04-13T13:58:15.202861
8sJlOmE8HKY,Very nice. Moves. You. Tube. Me full Moves. Dakaya ❤❤❤❤❤❤❤❤❤❤,0,2026-04-11T03:27:49Z,@UmashankarPatel-g9d,2026-04-13T13:58:15.202862
8sJlOmE8HKY,Nice movie ❤❤,1,2026-04-11T03:19:20Z,@MdSamasauddin-p5o2w,2026-04-13T13:58:15.202864
8sJlOmE8HKY,Picture kab aaegi yah movie kab aaegi,13,2026-04-11T03:16:46Z,@laxmiverma7631,2026-04-13T13:58:15.202866
8sJlOmE8HKY,चटोरी बहू 2भोजपुरीमूवी,5,2026-04-11T02:51:04Z,@AjayKumar-c2d6b,2026-04-13T13:58:15.202868
8sJlOmE8HKY,Kis kis ko bhojpuri muvie pasand hai veri  nice🎉,19,2026-04-11T02:40:28Z,@SaRa-SR9,2026-04-13T13:58:15.202869
8sJlOmE8HKY,❤❤😢😢,1,2026-04-11T02:40:08Z,@Nehasinghvlogs7383,2026-04-13T13:58:15.202872
